factor_column,factor_name,number_of_periods,mean_ic,ic_standard_deviation,ic_ir,positive_ic_rate_percent,t_statistic
momentum_20_score,20-Day Momentum,69,0.012364447147055837,0.3656069932929482,0.03381895689601493,52.17391304347826,0.28092135437143545
volume_ratio_score,Volume Ratio,69,0.0019256106212627818,0.28313649205940905,0.006800997664613084,52.17391304347826,0.05649332949252514
volatility_20_score,Low Volatility,69,-0.01297253471166514,0.3489735847862289,-0.03717340015752693,46.3768115942029,-0.30878545281431574
reversal_5_score,5-Day Reversal,69,-0.01773588730110471,0.3906367958884176,-0.04540250044998533,49.275362318840585,-0.37714149367399685
composite_score,Composite Factor,69,-0.031215161649944263,0.3384265625044914,-0.09223614546960981,43.47826086956522,-0.7661709669814437
trend_score_normalized,MA Trend,69,-0.06800445930880714,0.2853427226536418,-0.2383255429694387,44.927536231884055,-1.9796806423728464
momentum_60_score,60-Day Momentum,69,-0.07976081889125368,0.3436953168002597,-0.23206839020622178,37.68115942028986,-1.927704827915985
