snapshot_date,signal_price_date,baostock_code,symbol,stock_name,industry,close,target_snapshot_date_1m,forward_return_1m,turnover_stability_component,low_risk_component,long_momentum_component,value_component,short_reversal_component,fixed_equal_weight_score,fixed_equal_weight_rank,walk_forward_score,walk_forward_rank,model_ready,active_component_weight_sum,selection_status,selection_reason,target_weight,portfolio_position,industry_position_number,invested_weight
2022-01-31,2022-01-28,sh.600362,600362.SS,江西铜业,C32有色金属冶炼和压延加工业,17.5836815600,2022-02-28 00:00:00,0.0981169475,1.8789395900,2.2282408060,-1.5474782654,2.1029898304,2.2392893298,3.1847959740,2,3.2658346326,1.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,1,1,0.0500000000
2022-01-31,2022-01-28,sz.000425,000425.SZ,徐工机械,C35专用设备制造业,4.8924687600,2022-02-28 00:00:00,-0.0195035461,1.5898581540,2.5823607209,0.3776617757,3.0602017473,0.3467947656,3.6715588305,1,2.8835532669,2.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,2,1,0.0500000000
2022-01-31,2022-01-28,sh.601600,601600.SS,中国铝业,C32有色金属冶炼和压延加工业,4.8392578600,2022-02-28 00:00:00,0.2319391635,0.8928074949,0.5744224228,0.7087828691,1.5722918719,2.2322300478,2.7596109078,3,2.1299938538,3.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,3,2,0.0500000000
2022-01-31,2022-01-28,sh.603195,603195.SS,公牛集团,C38电气机械和器材制造业,44.7180654200,2022-02-28 00:00:00,-0.0441422864,1.7193743130,2.4470591614,-1.1677065374,-0.2381139819,0.1479389163,1.3420993045,19,2.0937055009,4.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,4,1,0.0500000000
2022-01-31,2022-01-28,sh.688009,688009.SS,中国通号,C37铁路、船舶、航空航天和其他运输设备制造业,4.1129831200,2022-02-28 00:00:00,0.0062240664,1.2948749991,2.4709805720,-0.3299286344,1.8100383681,-0.5807713744,2.1526704031,5,1.9547009325,5.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,5,1,0.0500000000
2022-01-31,2022-01-28,sz.002032,002032.SZ,苏泊尔,C38电气机械和器材制造业,39.4660739000,2022-02-28 00:00:00,-0.0218568665,1.6014707710,0.9678495053,-1.4504587270,0.6234449440,0.9545194685,1.2444021657,24,1.7517978568,6.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,6,2,0.0500000000
2022-01-31,2022-01-28,sz.300558,300558.SZ,贝达药业,C27医药制造业,61.1954833000,2022-02-28 00:00:00,-0.0329052970,1.7502623526,0.6815755648,-0.8309450006,-0.5023202786,1.1771735274,1.0501024156,37,1.7390669137,7.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,7,1,0.0500000000
2022-01-31,2022-01-28,sz.000157,000157.SZ,中联重科,C35专用设备制造业,5.5841640000,2022-02-28 00:00:00,-0.0014184397,0.5845831563,2.0838081365,-1.2912265598,3.0882193089,0.2914917944,2.1949753808,4,1.7254466318,8.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,8,2,0.0500000000
2022-01-31,2022-01-28,sh.600183,600183.SS,生益科技,C39计算机、通信和其他电子设备制造业,17.2586031500,2022-02-28 00:00:00,-0.0061381074,0.4843617183,1.4392356309,-0.4539248583,1.0020612517,1.4151300761,1.7935238766,7,1.6600162946,9.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,9,1,0.0500000000
2022-01-31,2022-01-28,sh.601360,601360.SS,三六零,I64互联网和相关服务,9.8947396800,2022-02-28 00:00:00,0.0019157088,1.1320806523,1.5666474979,-0.5441414758,0.1347348526,0.5616595521,1.3155342908,23,1.6324155300,10.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,10,1,0.0500000000
2022-01-31,2022-01-28,sh.601766,601766.SS,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,4.9802845800,2022-02-28 00:00:00,-0.0051546392,0.7560625826,1.9515007522,-0.6552626279,1.9429103368,0.0699495553,1.8757957409,6,1.6105641458,11.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,11,2,0.0500000000
2022-01-31,2022-01-28,sh.600143,600143.SS,金发科技,C29橡胶和塑料制品业,10.3754309400,2022-02-28 00:00:00,-0.0529100529,0.8280693860,2.1087476120,-1.4076763969,1.3150556145,0.1571299974,1.3849083671,18,1.5577645798,12.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,12,1,0.0500000000
2022-01-31,2022-01-28,sh.600848,600848.SS,上海临港,K70房地产业,12.9765335000,2022-02-28 00:00:00,-0.0228373702,0.8900228613,1.4535178295,0.0667535960,-1.7109031833,1.1552586389,0.8557949934,51,1.4993913008,13.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,13,1,0.0500000000
2022-01-31,2022-01-28,sh.600690,600690.SS,海尔智家,C38电气机械和器材制造业,23.5053479500,2022-02-28 00:00:00,-0.0781193490,0.6900351899,1.3539671802,-1.2807891782,1.2020306980,1.0455770801,1.3892895532,16,1.4963837457,14.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,14,3,0.0500000000
2022-01-31,2022-01-28,sh.601138,601138.SS,工业富联,C39计算机、通信和其他电子设备制造业,9.6554565800,2022-02-28 00:00:00,0.0054005401,0.7629926122,1.8036577810,-0.7941767218,1.9476005347,-0.1547881380,1.6451375681,10,1.4297632723,15.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,15,2,0.0500000000
2022-01-31,2022-01-28,sz.000800,000800.SZ,一汽解放,C36汽车制造业,8.5280802600,2022-02-28 00:00:00,-0.0095948827,1.2151726700,1.5738451953,-0.0943073844,1.0182186466,-0.6301170954,1.4225085429,14,1.3838736236,16.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,16,1,0.0500000000
2022-01-31,2022-01-28,sh.600276,600276.SS,恒瑞医药,C27医药制造业,40.1378796000,2022-02-28 00:00:00,-0.0212454212,1.0682415990,1.4562814831,-1.5492531055,-0.3797941655,0.7078224809,0.6013837155,87,1.3696611694,17.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,17,2,0.0500000000
2022-01-31,2022-01-28,sz.002601,002601.SZ,龙佰集团,C26化学原料和化学制品制造业,19.8721817600,2022-02-28 00:00:00,0.0934270360,0.6478512697,0.9029080140,-1.4504895321,0.3386064045,1.6014583139,0.9414758940,45,1.3409257124,18.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,18,1,0.0500000000
2022-01-31,2022-01-28,sh.600606,600606.SS,绿地控股,E48土木工程建筑业,3.9704552700,2022-02-28 00:00:00,-0.0114416476,1.4433516308,1.2131898848,-1.1021793588,0.6066838927,-0.3272883235,0.8461547456,53,1.2730683184,19.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,19,1,0.0500000000
2022-01-31,2022-01-28,sh.601216,601216.SS,君正集团,C26化学原料和化学制品制造业,3.7732297300,2022-02-28 00:00:00,0.0040567951,1.0800116889,1.0623655311,0.2974240336,1.3953444730,-0.4028206241,1.5837851056,11,1.2709647005,20.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,20,2,0.0500000000
2022-02-28,2022-02-28,sz.000425,000425.SZ,徐工机械,C35专用设备制造业,4.7970482700,2022-03-31 00:00:00,-0.0687160940,1.2940705005,2.2605587088,0.6114945489,3.0325581297,1.4282128492,3.2505053734,1,2.6191070187,1.0000000000,1,1.0000000000,RETAINED,RANK_WITHIN_EXIT_BUFFER,0.0500000000,1,1,0.0500000000
2022-02-28,2022-02-28,sh.600362,600362.SS,江西铜业,C32有色金属冶炼和压延加工业,19.3089387200,2022-03-31 00:00:00,-0.1299638989,2.3268324193,1.7883920251,-1.2196725840,2.2388360593,1.1442603937,2.3657156721,3,2.3808538044,2.0000000000,1,1.0000000000,RETAINED,RANK_WITHIN_EXIT_BUFFER,0.0500000000,2,1,0.0500000000
2022-02-28,2022-02-28,sh.603195,603195.SS,公牛集团,C38电气机械和器材制造业,42.7441077700,2022-03-31 00:00:00,-0.1342277355,1.5310628000,2.6534695934,-1.0187198712,-0.1707247669,1.4614035500,1.6791498420,16,2.1768539282,3.0000000000,1,1.0000000000,RETAINED,RANK_WITHIN_EXIT_BUFFER,0.0500000000,3,1,0.0500000000
2022-02-28,2022-02-28,sh.688009,688009.SS,中国通号,C37铁路、船舶、航空航天和其他运输设备制造业,4.1385826000,2022-03-31 00:00:00,-0.0824742268,1.3938961197,1.9794442286,-0.0383864836,1.7991016301,1.0568070003,2.3326390804,4,2.1265989740,4.0000000000,1,1.0000000000,RETAINED,RANK_WITHIN_EXIT_BUFFER,0.0500000000,4,1,0.0500000000
2022-02-28,2022-02-28,sz.000157,000157.SZ,中联重科,C35专用设备制造业,5.5762432000,2022-03-31 00:00:00,-0.0568181818,1.0470147964,1.7258852142,-1.0490867557,3.0289198269,1.8216907552,2.4771601672,2,2.0605167515,5.0000000000,1,1.0000000000,RETAINED,RANK_WITHIN_EXIT_BUFFER,0.0500000000,5,2,0.0500000000
2022-02-28,2022-02-28,sz.002044,002044.SZ,美年健康,Q84卫生,7.1130967600,2022-03-31 00:00:00,-0.1796657382,0.9494867469,1.8346564124,0.0012917394,1.1229524826,1.4610233711,2.0231264012,8,1.9415212931,7.0000000000,1,1.0000000000,NEW_ENTRY,RANK_WITHIN_ENTRY_LIMIT,0.0500000000,6,1,0.0500000000
2022-02-28,2022-02-28,sh.601766,601766.SS,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,4.9546130100,2022-03-31 00:00:00,-0.0673575130,0.9952424622,1.4022958957,-0.1312369980,2.0533280694,1.5277645151,2.2032244528,6,1.9080675392,8.0000000000,1,1.0000000000,RETAINED,RANK_WITHIN_EXIT_BUFFER,0.0500000000,7,2,0.0500000000
