date,portfolio_value,benchmark_value,cash,gross_return,daily_return,benchmark_return,buy_turnover,sell_turnover,transaction_cost,total_weight,drawdown
2020-05-06,100531.99295592398,100000.0,80425.5943647392,0.005419929559239867,0.005319929559239866,0.0,0.2,-0.0,0.0001,0.2,0.0
2020-05-07,100717.59030978178,100000.0,80574.07224782543,0.0018461521392413973,0.0018461521392413973,0.0,0.0,-0.0,0.0,0.2,0.0
2020-05-08,100757.65668300698,100000.0,80606.12534640559,0.0003978090927510003,0.0003978090927510003,0.0,0.0,-0.0,0.0,0.2,0.0
2020-05-11,100886.42691777642,100000.0,80709.14153422114,0.0012780193486889415,0.0012780193486889415,0.0,0.0,-0.0,0.0,0.2,0.0
2020-05-12,101038.77957124557,100000.0,80831.02365699646,0.0015101402450631075,0.0015101402450631075,0.0,0.0,-0.0,0.0,0.2,0.0
2020-05-13,101083.50291108368,100000.0,80866.80232886695,0.0004426353923503879,0.0004426353923503879,0.0,0.0,-0.0,0.0,0.2,0.0
2020-05-14,100941.85854781659,100000.0,80753.48683825327,-0.0014012609297056945,-0.0014012609297056945,0.0,0.0,-0.0,0.0,0.2,-0.0014012609297056056
2020-05-15,100735.04218293539,100000.0,80588.03374634832,-0.0020488662271185955,-0.0020488662271185955,0.0,0.0,-0.0,0.0,0.2,-0.003447256160629908
2020-05-18,101244.62571536774,100000.0,80995.7005722942,0.005058652097518968,0.005058652097518968,0.0,0.0,-0.0,0.0,0.2,0.0
2020-05-19,101243.12226048979,100000.0,80994.49780839184,-1.4849725280075e-05,-1.4849725280075e-05,0.0,0.0,-0.0,0.0,0.2,-1.4849725279986181e-05
2020-05-20,101316.67876642208,100000.0,81053.34301313767,0.0007265333613777347,0.0007265333613777347,0.0,0.0,-0.0,0.0,0.2,0.0
2020-05-21,101543.15820916502,100000.0,81234.52656733202,0.002235361892044141,0.002235361892044141,0.0,0.0,-0.0,0.0,0.2,0.0
2020-05-22,100979.72987347112,100000.0,80783.7838987769,-0.005548658773575955,-0.005548658773575955,0.0,0.0,-0.0,0.0,0.2,-0.005548658773576021
2020-05-25,101507.36504280126,100000.0,81205.89203424101,0.005225159247219846,0.005225159247219846,0.0,0.0,-0.0,0.0,0.2,-0.00035249215205646056
2020-05-26,101434.37254490195,100000.0,81147.49803592157,-0.0007190857320407585,-0.0007190857320407585,0.0,0.0,-0.0,0.0,0.2,-0.0010713244120197363
2020-05-27,101135.59986340308,100000.0,80908.47989072248,-0.002945477691663312,-0.002945477691663312,0.0,0.0,-0.0,0.0,0.2,-0.004013646541526916
2020-05-28,101226.30435904923,100000.0,80981.0434872394,0.000896860213106443,0.000896860213106443,0.0,0.0,-0.0,0.0,0.2,-0.003120386008312992
2020-05-29,101566.73871042112,100000.0,81253.3909683369,0.003363101651566458,0.003363101651566458,0.0,0.0,-0.0,0.0,0.2,0.0
2020-06-01,102353.05045148257,100000.0,81882.44036118606,0.007741823268573267,0.007741823268573267,0.0,0.0,-0.0,0.0,0.2,0.0
2020-06-02,102226.29315259466,100000.0,81781.03452207573,-0.0012384320577529806,-0.0012384320577529806,0.0,0.0,-0.0,0.0,0.2,-0.0012384320577528696
2020-06-03,102060.9262094206,100000.0,81648.74096753649,-0.001617655674232621,-0.001617655674232621,0.0,0.0,-0.0,0.0,0.2,-0.0028540843753400713
2020-06-04,102187.69248323303,100000.0,81750.15398658643,0.0012420647011602616,0.0012420647011602616,0.0,0.0,-0.0,0.0,0.2,-0.0016155646316367012
2020-06-05,102434.59887806614,100000.0,81947.67910245292,0.002416204817166623,0.002416204817166623,0.0,0.0,-0.0,0.0,0.2,0.0
2020-06-08,102162.87754903563,100000.0,81730.30203922851,-0.002652632333279792,-0.002652632333279792,0.0,0.0,-0.0,0.0,0.2,-0.0026526323332798363
2020-06-09,102314.72911542989,100000.0,81851.78329234391,0.0014863673580590043,0.0014863673580590043,0.0,0.0,-0.0,0.0,0.2,-0.00117020776133403
2020-06-10,102417.43987561767,100000.0,81933.95190049414,0.0010038707141755143,0.0010038707141755143,0.0,0.0,-0.0,0.0,0.2,-0.00016751178445972847
2020-06-11,102083.63754883272,100000.0,81666.91003906618,-0.0032592332633029743,-0.0032592332633029743,0.0,0.0,-0.0,0.0,0.2,-0.003426199087782744
2020-06-12,102315.5833553588,100000.0,81852.46668428705,0.0022721154153144685,0.0022721154153144685,0.0,0.0,-0.0,0.0,0.2,-0.0011618683922315354
2020-06-15,101833.47381802987,100000.0,81466.77905442391,-0.00471198542312441,-0.00471198542312441,0.0,0.0,-0.0,0.0,0.2,-0.00586837910842819
2020-06-16,102140.95662230007,100000.0,81712.76529784006,0.0030194669075087168,0.0030194669075087168,0.0,0.0,-0.0,0.0,0.2,-0.00286663157743805
2020-06-17,102157.25158835007,100000.0,81725.80127068007,0.00015953410452440586,0.00015953410452440586,0.0,0.0,-0.0,0.0,0.2,-0.0027075547984154458
2020-06-18,102273.58856521078,100000.0,81818.87085216863,0.001138802924431781,0.001138802924431781,0.0,0.0,-0.0,0.0,0.2,-0.0015718352453063522
2020-06-19,102662.12825593799,100000.0,82129.7026047504,0.0037990227602063167,0.0037990227602063167,0.0,0.0,-0.0,0.0,0.2,0.0
2020-06-22,102650.14734189313,100000.0,82120.11787351451,-0.00011670237358603065,-0.00011670237358603065,0.0,0.0,-0.0,0.0,0.2,-0.00011670237358607505
2020-06-23,103156.6221507346,100000.0,82525.2977205877,0.004933990081422613,0.004933990081422613,0.0,0.0,-0.0,0.0,0.2,0.0
2020-06-24,103192.50662136967,100000.0,82554.00529709575,0.0003478639556715457,0.0003478639556715457,0.0,0.0,-0.0,0.0,0.2,0.0
2020-06-29,103237.1784796864,100000.0,82589.74278374913,0.0004328982770097856,0.0004328982770097856,0.0,0.0,-0.0,0.0,0.2,0.0
2020-06-30,103233.08436449534,100000.0,82586.46749159628,-3.9657371998513824e-05,-3.9657371998513824e-05,0.0,0.0,-0.0,0.0,0.2,-3.9657371998624846e-05
2020-07-01,102616.4375984061,100000.0,82093.1500787249,-0.0056733443971505705,-0.0059733443971505705,0.0,0.2,0.2,0.00030000000000000003,0.2,-0.0060127648820084145
2020-07-02,102359.82035067877,100000.0,81887.85628054303,-0.002500742120201238,-0.002500742120201238,0.0,0.0,-0.0,0.0,0.2,-0.008498470627810284
2020-07-03,102405.05891884062,100000.0,81924.0471350725,0.00044195630675081254,0.00044195630675081254,0.0,0.0,-0.0,0.0,0.2,-0.008060270273751335
2020-07-06,103619.51922090643,100000.0,82895.61537672515,0.011859377992529563,0.011859377992529563,0.0,0.0,-0.0,0.0,0.2,0.0
2020-07-07,105698.32050524939,100000.0,84558.65640419952,0.02006186961658414,0.02006186961658414,0.0,0.0,-0.0,0.0,0.2,0.0
2020-07-08,105914.49274560911,100000.0,84731.59419648729,0.0020451814118368715,0.0020451814118368715,0.0,0.0,-0.0,0.0,0.2,0.0
2020-07-09,106707.86504927027,100000.0,85366.29203941622,0.007490686903129796,0.007490686903129796,0.0,0.0,-0.0,0.0,0.2,0.0
2020-07-10,106571.46903699364,100000.0,85257.17522959493,-0.0012782189224165297,-0.0012782189224165297,0.0,0.0,-0.0,0.0,0.2,-0.0012782189224164187
2020-07-13,108710.53782610063,100000.0,86968.4302608805,0.02007168342930963,0.02007168342930963,0.0,0.0,-0.0,0.0,0.2,0.0
