year,Multi-Factor Portfolio,CSI 300 Benchmark
2020,0.17465558543240745,0.0
2021,-0.0032803479031113802,-0.03663066127942638
2022,-0.2331390378007594,-0.21632796916507624
2023,-0.1199291272482168,-0.1137814793057178
2024,0.3557394167633652,0.1468328875828646
2025,-0.0021171417541702153,0.1766317513796145
2026,0.0032443516286488894,-0.021779946398044592
