Year,Trained Factor,Original Factor,CSI 300
2024,-0.0003821328791567824,-0.011904126683045968,0.011274587926739521
2025,0.2614256500029921,-0.0021171417541702153,0.1766317513796145
2026,-0.1472194496913154,0.0032443516286488894,-0.021779946398044592
