date,baostock_code,symbol,stock_name,open,high,low,close,pre_close,pct_change,trade_status,is_st,observation_number,calculated_return_percent,return_difference,review_classification
2019-06-28,sh.601698,601698.SS,中国卫通,3.22336412,3.87594704,3.22336412,3.87594704,2.68943264,44.11765,1,0,1,44.11764705882351,2.9411764899123227e-06,LIKELY_NEW_LISTING
2020-06-03,sh.600918,600918.SS,中泰证券,5.04140492,6.04776902,5.04140492,6.04776902,4.19797596,44.0639,1,0,1,44.063926940639256,2.6940639259009913e-05,LIKELY_NEW_LISTING
2021-04-20,sh.605117,605117.SS,德业股份,5.08145428,6.0980038,5.08145428,6.0980038,4.23432968,44.0134,1,0,1,44.01343921808185,3.921808185225473e-05,LIKELY_NEW_LISTING
2020-02-07,sh.603893,603893.SS,瑞芯微,11.19473124,13.42982388,11.19473124,13.42982388,9.32573136,44.0083,1,0,1,44.00826446280992,3.5537190079537595e-05,LIKELY_NEW_LISTING
2021-05-27,sh.605499,605499.SS,东鹏饮料,30.27494496,36.33320574,30.27494496,36.33320574,25.23093846,44.0026,1,0,1,44.0025934730927,6.526907299075901e-06,LIKELY_NEW_LISTING
2023-02-01,sh.601059,601059.SS,信达证券,9.7545096,11.70541152,9.7545096,11.70541152,8.128758,44.0,1,0,1,44.000000000000014,1.4210854715202004e-14,LIKELY_NEW_LISTING
2020-07-31,sh.601456,601456.SS,国联民生,4.8824034,5.85888408,4.8824034,5.85888408,4.0686695,44.0,1,0,1,43.99999999999999,7.105427357601002e-15,LIKELY_NEW_LISTING
2020-04-29,sh.603392,603392.SS,万泰生物,4.3597386,4.3597386,4.3597386,4.3597386,3.02759625,44.0,1,0,1,43.99999999999999,7.105427357601002e-15,LIKELY_NEW_LISTING
2019-11-18,sz.300803,300803.SZ,指南针,5.1524325,6.182919,5.1524325,6.182919,4.29369375,44.0,1,0,1,43.99999999999999,7.105427357601002e-15,LIKELY_NEW_LISTING
2020-05-12,sz.300832,300832.SZ,新产业,17.85524097,21.4243932,17.85524097,21.4243932,14.87857749,43.9949,1,0,1,43.99490283529788,2.835297877368248e-06,LIKELY_NEW_LISTING
2022-12-22,sh.601136,601136.SS,首创证券,8.2315784,9.8817769,8.2315784,9.8817769,6.86288435,43.9887,1,0,1,43.988684582743986,1.541725601583721e-05,LIKELY_NEW_LISTING
2019-05-16,sh.600989,600989.SS,宝丰能源,10.8102024,12.9738636,10.8102024,12.9738636,9.0112032,43.97482,1,0,1,43.97482014388488,1.4388487556971086e-07,LIKELY_NEW_LISTING
2021-09-28,sh.601868,601868.SS,中国能建,2.14876654,2.5803965,2.04555068,2.5803965,1.83911896,40.3061,1,0,1,40.3061224489796,2.244897959968739e-05,LIKELY_NEW_LISTING
2020-01-16,sh.601816,601816.SS,京沪高铁,5.32340566,6.34993269,5.32340566,6.15007787,4.43314328,38.7295,1,0,1,38.7295081967213,8.196721296371834e-06,LIKELY_NEW_LISTING
2021-08-20,sh.601728,601728.SS,中国电信,3.89471068,5.30135984,3.72396136,4.96799212,3.68330676,34.8786,1,0,1,34.87858719646799,1.2803532008831553e-05,LIKELY_NEW_LISTING
2020-11-02,sh.601995,601995.SS,中金公司,33.33856064,39.99855104,33.33856064,36.3886432,27.77891648,30.9937,1,0,1,30.99374565670603,4.565670602829641e-05,LIKELY_NEW_LISTING
2023-01-06,sh.688506,688506.SS,百利天恒,28.75,34.97,28.75,32.05,24.7,29.7571,1,0,1,29.7570850202429,1.4979757100519464e-05,LIKELY_NEW_LISTING
2020-07-21,sh.688256,688256.SS,寒武纪,139.4848,191.52336,135.4612,183.7444,142.43544,29.0019,1,0,2,29.001883239171388,1.676082861123973e-05,LIKELY_NEW_LISTING
2022-04-20,sh.688072,688072.SS,拓荆科技,43.19335119,47.71681024,40.0519339,41.9613337,32.67801372,28.4085,1,0,1,28.408458542014458,4.145798554233693e-05,LIKELY_NEW_LISTING
2022-04-21,sh.600938,600938.SS,中国海油,9.8948304,11.8722695,9.8948304,10.5285271,8.245692,27.6852,1,0,1,27.68518518518519,1.4814814807806442e-05,LIKELY_NEW_LISTING
2019-10-29,sh.601077,601077.SS,渝农商行,5.96456787,7.1601834,5.96456787,6.31582215,4.97159904,27.038,1,0,1,27.038043478260864,4.347826086359419e-05,LIKELY_NEW_LISTING
