horizon_months,signal_column,base_factor,factor_name,category,signal_variant,number_of_periods,average_stocks_per_period,mean_ic,ic_standard_deviation,ic_ir,positive_ic_rate_percent,t_statistic
1,trend_60_zscore,trend_60,60-Day MA Trend,Trend,standardized,86,299.7441860465,-0.0236772120,0.2172541274,-0.1089839458,51.1627906977,-1.0106755352
1,turnover_20_neutral,turnover_20,20-Day Turnover,Liquidity,neutralized,86,299.7441860465,-0.0279770576,0.1041142358,-0.2687150067,38.3720930233,-2.4919604563
1,momentum_60_zscore,momentum_60,60-Day Momentum,Momentum,standardized,86,299.7441860465,-0.0288684820,0.2096032358,-0.1377291809,51.1627906977,-1.2772478797
1,turnover_20_zscore,turnover_20,20-Day Turnover,Liquidity,standardized,86,299.7441860465,-0.0512122178,0.2530991745,-0.2023405170,44.1860465116,-1.8764287608
3,volatility_20_zscore,volatility_20,20-Day Volatility,Risk,standardized,84,299.6666666667,0.0897540965,0.2382737707,0.3766847533,67.8571428571,3.4523727904
3,turnover_stability_20_zscore,turnover_stability_20,Turnover Stability,Liquidity,standardized,84,299.6666666667,0.0869625125,0.2285520602,0.3804932341,66.6666666667,3.4872780937
3,downside_volatility_60_zscore,downside_volatility_60,60-Day Downside Volatility,Risk,standardized,84,299.6666666667,0.0749258111,0.2494022421,0.3004215619,64.2857142857,2.7534090959
3,value_pb_score_zscore,value_pb_score,Book-to-Price Style,Value,standardized,84,299.6666666667,0.0696497809,0.2620503891,0.2657877409,61.9047619048,2.4359848830
3,value_pe_score_zscore,value_pe_score,Earnings Yield Style,Value,standardized,84,299.6666666667,0.0678132345,0.2401332418,0.2823983635,61.9047619048,2.5882237535
3,turnover_stability_20_neutral,turnover_stability_20,Turnover Stability,Liquidity,neutralized,84,299.6666666667,0.0545371958,0.0826927243,0.6595162538,76.1904761905,6.0445663100
3,volatility_20_neutral,volatility_20,20-Day Volatility,Risk,neutralized,84,299.6666666667,0.0515860954,0.1101562214,0.4682994268,61.9047619048,4.2920351420
3,risk_category_score,risk_category_score,Risk Category,Category Composite,category,84,299.6666666667,0.0509762725,0.1245981841,0.4091253248,71.4285714286,3.7496955394
3,momentum_12_1_zscore,momentum_12_1,12-1 Momentum,Momentum,standardized,78,299.6666666667,0.0468979454,0.2214483157,0.2117782889,64.1025641026,1.8703752047
3,downside_volatility_60_neutral,downside_volatility_60,60-Day Downside Volatility,Risk,neutralized,84,299.6666666667,0.0441444934,0.1225232923,0.3602947045,63.0952380952,3.3021555114
3,value_pcf_score_zscore,value_pcf_score,Cash-Flow Yield Style,Value,standardized,83,299.6666666667,0.0438853363,0.1469384182,0.2986648202,60.2409638554,2.7209660071
3,momentum_12_1_neutral,momentum_12_1,12-1 Momentum,Momentum,neutralized,78,299.6666666667,0.0390191385,0.1396071710,0.2794923661,69.2307692308,2.4684097411
3,value_ps_score_zscore,value_ps_score,Sales-to-Price Style,Value,standardized,84,299.6666666667,0.0316606671,0.2017928551,0.1568968689,52.3809523810,1.4379835563
3,value_pe_score_neutral,value_pe_score,Earnings Yield Style,Value,neutralized,84,299.6666666667,0.0314327819,0.1156154285,0.2718735929,59.5238095238,2.4917626379
3,value_pb_score_neutral,value_pb_score,Book-to-Price Style,Value,neutralized,84,299.6666666667,0.0277501860,0.1388311664,0.1998844116,52.3809523810,1.8319708924
3,value_category_score,value_category_score,Value Category,Category Composite,category,84,299.6666666667,0.0267515335,0.1310771918,0.2040899197,55.9523809524,1.8705150108
3,equal_weight_composite_score,equal_weight_composite_score,Equal-Weight Composite,Composite,composite,84,299.6666666667,0.0263475758,0.1156144971,0.2278916264,64.2857142857,2.0886612561
3,momentum_120_zscore,momentum_120,120-Day Momentum,Momentum,standardized,84,299.6666666667,0.0237928249,0.2186879121,0.1087980799,58.3333333333,0.9971508730
3,drawdown_60_zscore,drawdown_60,60-Day Drawdown,Risk,standardized,84,299.6666666667,0.0217588509,0.1881015539,0.1156760828,61.9047619048,1.0601888115
3,drawdown_60_neutral,drawdown_60,60-Day Drawdown,Risk,neutralized,84,299.6666666667,0.0179385581,0.1160751186,0.1545426642,63.0952380952,1.4164069138
3,value_ps_score_neutral,value_ps_score,Sales-to-Price Style,Value,neutralized,84,299.6666666667,0.0136951180,0.1274803437,0.1074292521,50.0000000000,0.9846053592
3,reversal_5_score_zscore,reversal_5_score,5-Day Reversal,Reversal,standardized,84,299.6666666667,0.0116694597,0.1748284404,0.0667480625,53.5714285714,0.6117560981
3,amihud_liquidity_score_20_zscore,amihud_liquidity_score_20,Amihud Liquidity,Liquidity,standardized,84,299.6666666667,0.0108537423,0.1279807308,0.0848076285,53.5714285714,0.7772747545
3,value_pcf_score_neutral,value_pcf_score,Cash-Flow Yield Style,Value,neutralized,83,299.6666666667,0.0085388694,0.0634528954,0.1345702093,51.8072289157,1.2259929535
3,momentum_120_neutral,momentum_120,120-Day Momentum,Momentum,neutralized,84,299.6666666667,0.0057667104,0.1306843343,0.0441270215,55.9523809524,0.4044308321
3,momentum_category_score,momentum_category_score,Momentum Category,Category Composite,category,84,299.6666666667,0.0017648723,0.1341190011,0.0131590026,55.9523809524,0.1206042513
3,reversal_5_score_neutral,reversal_5_score,5-Day Reversal,Reversal,neutralized,84,299.6666666667,-0.0008623267,0.0947699340,-0.0090991595,47.6190476190,-0.0833951743
3,reversal_category_score,reversal_category_score,Reversal Category,Category Composite,category,84,299.6666666667,-0.0008623267,0.0947699340,-0.0090991595,47.6190476190,-0.0833951743
3,amihud_liquidity_score_20_neutral,amihud_liquidity_score_20,Amihud Liquidity,Liquidity,neutralized,84,299.6666666667,-0.0044747307,0.0773192967,-0.0578734020,53.5714285714,-0.5304184911
3,momentum_20_neutral,momentum_20,20-Day Momentum,Momentum,neutralized,84,299.6666666667,-0.0101215671,0.1176753906,-0.0860126064,48.8095238095,-0.7883185591
