snapshot_date,factor_column,number_of_stocks,size_correlation_before,size_correlation_after,mean_absolute_industry_score_before,mean_absolute_industry_score_after
2019-10-31,value_ps_score,300,0.05244437,-0.00000000,0.68943305,0.00000000
2019-10-31,value_pcf_score,300,0.15200182,0.00000000,0.51892622,0.00000000
2019-11-30,momentum_20,300,-0.07659604,-0.00000000,0.46815773,0.00000000
2019-11-30,momentum_60,300,0.10766133,-0.00000000,0.50844196,0.00000000
2019-11-30,momentum_120,300,0.16191374,-0.00000000,0.53008239,0.00000000
2019-11-30,momentum_12_1,300,0.00000000,0.00000000,0.00000000,0.00000000
2019-11-30,reversal_5_score,300,0.05288077,-0.00000000,0.52226260,0.00000000
2019-11-30,volatility_20,300,0.21942574,0.00000000,0.45855661,0.00000000
2019-11-30,downside_volatility_60,300,0.27037221,0.00000000,0.54378610,0.00000000
2019-11-30,drawdown_60,300,0.23383372,-0.00000000,0.44812351,0.00000000
2019-11-30,trend_60,300,0.09854157,-0.00000000,0.47692292,0.00000000
2019-11-30,liquidity_amount_20,300,0.56440683,-0.00000000,0.58440827,0.00000000
2019-11-30,turnover_20,300,-0.36288959,-0.00000000,0.46300417,0.00000000
2019-11-30,turnover_stability_20,300,0.38214156,0.00000000,0.44536061,0.00000000
2019-11-30,amihud_liquidity_score_20,300,0.56844289,-0.00000000,0.59930009,0.00000000
2019-11-30,value_pe_score,300,0.18172421,-0.00000000,0.61557322,0.00000000
2019-11-30,value_pb_score,300,0.01534742,0.00000000,0.69856729,0.00000000
2019-11-30,value_ps_score,300,0.03610362,-0.00000000,0.68885525,0.00000000
2019-11-30,value_pcf_score,300,0.15257331,0.00000000,0.51002918,0.00000000
2019-12-31,momentum_20,300,-0.10198987,0.00000000,0.53150289,0.00000000
2019-12-31,momentum_60,300,0.04278051,0.00000000,0.44608935,0.00000000
2019-12-31,momentum_120,300,0.04757810,-0.00000000,0.48319312,0.00000000
2019-12-31,momentum_12_1,300,0.00000000,0.00000000,0.00000000,0.00000000
2019-12-31,reversal_5_score,300,0.06290654,-0.00000000,0.47993623,0.00000000
2019-12-31,volatility_20,300,0.27009583,-0.00000000,0.52461817,0.00000000
2019-12-31,downside_volatility_60,300,0.34201599,-0.00000000,0.53225252,0.00000000
2019-12-31,drawdown_60,300,0.16984568,-0.00000000,0.48319934,0.00000000
2019-12-31,trend_60,300,-0.05225052,0.00000000,0.52115545,0.00000000
2019-12-31,liquidity_amount_20,300,0.43362912,0.00000000,0.58856552,0.00000000
2019-12-31,turnover_20,300,-0.46159500,0.00000000,0.49680079,0.00000000
2019-12-31,turnover_stability_20,300,0.46329242,-0.00000000,0.51426479,0.00000000
2019-12-31,amihud_liquidity_score_20,300,0.53584443,0.00000000,0.60856068,0.00000000
2019-12-31,value_pe_score,300,0.19445333,-0.00000000,0.61277699,0.00000000
2019-12-31,value_pb_score,300,0.08711926,0.00000000,0.75307595,0.00000000
2019-12-31,value_ps_score,300,0.09169442,-0.00000000,0.66675231,0.00000000
2019-12-31,value_pcf_score,300,0.12461208,0.00000000,0.51272528,0.00000000
2020-01-31,momentum_20,300,-0.11512200,-0.00000000,0.55669478,0.00000000
2020-01-31,momentum_60,300,-0.07819014,0.00000000,0.52812414,0.00000000
2020-01-31,momentum_120,300,0.00640518,0.00000000,0.53686707,0.00000000
2020-01-31,momentum_12_1,300,0.10256801,0.00000000,0.68953102,0.00000000
2020-01-31,reversal_5_score,300,0.08765229,0.00000000,0.63875053,0.00000000
2020-01-31,volatility_20,300,0.18510266,-0.00000000,0.59422106,0.00000000
2020-01-31,downside_volatility_60,300,0.27080225,-0.00000000,0.60827239,0.00000000
2020-01-31,drawdown_60,300,-0.00783108,-0.00000000,0.66977216,0.00000000
2020-01-31,trend_60,300,-0.12848088,0.00000000,0.56212314,0.00000000
2020-01-31,liquidity_amount_20,300,0.46709348,-0.00000000,0.54798836,0.00000000
2020-01-31,turnover_20,300,-0.45939755,0.00000000,0.49116995,0.00000000
2020-01-31,turnover_stability_20,300,0.48192938,-0.00000000,0.54975681,0.00000000
2020-01-31,amihud_liquidity_score_20,300,0.52939774,0.00000000,0.62306767,0.00000000
2020-01-31,value_pe_score,300,0.17988298,-0.00000000,0.59787225,0.00000000
2020-01-31,value_pb_score,300,0.07551494,0.00000000,0.72826130,0.00000000
2020-01-31,value_ps_score,300,0.09090522,-0.00000000,0.66921818,0.00000000
2020-01-31,value_pcf_score,300,0.11853729,0.00000000,0.51419426,0.00000000
2020-02-29,momentum_20,300,-0.00347451,-0.00000000,0.61730791,0.00000000
2020-02-29,momentum_60,300,-0.03688578,0.00000000,0.52877613,0.00000000
2020-02-29,momentum_120,300,0.03892889,-0.00000000,0.54587870,0.00000000
2020-02-29,momentum_12_1,300,0.11657947,-0.00000000,0.56259078,0.00000000
2020-02-29,reversal_5_score,300,-0.07964667,0.00000000,0.58000663,0.00000000
2020-02-29,volatility_20,300,0.31642101,0.00000000,0.59299213,0.00000000
2020-02-29,downside_volatility_60,300,0.37306454,-0.00000000,0.57182794,0.00000000
2020-02-29,drawdown_60,300,0.12804634,0.00000000,0.61376071,0.00000000
2020-02-29,trend_60,300,-0.01602741,-0.00000000,0.62658973,0.00000000
2020-02-29,liquidity_amount_20,300,0.45508236,-0.00000000,0.55864435,0.00000000
2020-02-29,turnover_20,300,-0.38083572,0.00000000,0.49393336,0.00000000
2020-02-29,turnover_stability_20,300,0.39529857,-0.00000000,0.47127115,0.00000000
2020-02-29,amihud_liquidity_score_20,300,0.57774942,-0.00000000,0.57456463,0.00000000
2020-02-29,value_pe_score,300,0.13216438,-0.00000000,0.58143477,0.00000000
2020-02-29,value_pb_score,300,0.01038441,0.00000000,0.73298699,0.00000000
2020-02-29,value_ps_score,300,0.04364292,-0.00000000,0.67607576,0.00000000
2020-02-29,value_pcf_score,300,0.09154706,0.00000000,0.51548757,0.00000000
2020-03-31,momentum_20,300,0.11022122,0.00000000,0.58674413,0.00000000
2020-03-31,momentum_60,300,0.04247587,0.00000000,0.63574047,0.00000000
2020-03-31,momentum_120,300,0.07488132,-0.00000000,0.59640504,0.00000000
2020-03-31,momentum_12_1,300,0.16936599,-0.00000000,0.56869007,0.00000000
2020-03-31,reversal_5_score,300,-0.12979806,0.00000000,0.61791167,0.00000000
2020-03-31,volatility_20,300,0.11745271,-0.00000000,0.54439100,0.00000000
2020-03-31,downside_volatility_60,300,0.30545858,-0.00000000,0.53970442,0.00000000
2020-03-31,drawdown_60,300,0.18189562,0.00000000,0.56204802,0.00000000
2020-03-31,trend_60,300,0.11238083,0.00000000,0.57783516,0.00000000
