factor_column,factor_name,train_mean_ic,test_mean_ic,direction,raw_weight,train_positive_rate_percent,test_positive_rate_percent,trained_weight,same_direction_in_test
momentum_20_score,20-Day Momentum,0.032488344988344985,-0.03363303363303364,1,0.032488344988344985,52.083333333333336,52.38095238095239,0.15627189908899788,False
momentum_60_score,60-Day Momentum,-0.036276223776223776,-0.17915417915417922,-1,0.036276223776223776,41.66666666666667,28.57142857142857,0.1744919411352488,True
reversal_5_score,5-Day Reversal,-0.042249417249417255,0.03829503829503828,-1,0.042249417249417255,50.0,47.61904761904761,0.2032235459004906,False
volatility_20_score,Low Volatility,-0.06555944055944056,0.10722610722610722,-1,0.06555944055944056,39.58333333333333,61.904761904761905,0.31534688156972673,False
trend_score_normalized,MA Trend,-0.026952214452214445,-0.16183816183816185,-1,0.026952214452214445,54.166666666666664,23.809523809523807,0.1296426068675543,True
volume_ratio_score,Volume Ratio,0.004370629370629366,-0.003663003663003675,1,0.004370629370629366,52.083333333333336,52.38095238095239,0.02102312543798176,False
