date,method,rolling_12m_return_percent,rolling_12m_volatility_percent,rolling_12m_sharpe_ratio,rolling_12m_maximum_drawdown_percent
2023-02-17,Walk-Forward Portfolio After Costs,-7.217594971166452,19.233099116384807,-0.3958289801604318,-24.180145533809483
2023-02-20,Walk-Forward Portfolio After Costs,-6.070966726412264,19.339117184986367,-0.3291248430592361,-24.180145533809483
2023-02-21,Walk-Forward Portfolio After Costs,-6.4660934535293535,19.315250522074944,-0.3515877295932944,-24.180145533809483
2023-02-22,Walk-Forward Portfolio After Costs,-7.887604372666601,19.31082370590364,-0.4309984957893119,-24.180145533809483
2023-02-23,Walk-Forward Portfolio After Costs,-8.00250890624028,19.307992445495586,-0.43755290799476554,-23.211181558861817
2023-02-24,Walk-Forward Portfolio After Costs,-7.512205728494092,19.281319211109526,-0.41086610717930944,-23.146028545196206
2023-02-27,Walk-Forward Portfolio After Costs,-6.60944938971868,19.234142559656032,-0.36185897039005754,-23.146028545196206
2023-02-28,Walk-Forward Portfolio After Costs,-6.361224398838294,19.242005023305218,-0.34784109047401907,-23.146028545196206
2023-03-01,Walk-Forward Portfolio After Costs,-5.873959383158079,19.261936057877747,-0.3203437361177514,-23.146028545196206
2023-03-02,Walk-Forward Portfolio After Costs,-5.096884850560757,19.26054523133032,-0.2777001632319041,-23.146028545196206
2023-03-03,Walk-Forward Portfolio After Costs,-4.76551222804823,19.276615887207306,-0.259230252428087,-23.146028545196206
2023-03-06,Walk-Forward Portfolio After Costs,-5.531054377069067,19.281200079844147,-0.30097632452503703,-22.73985752386567
2023-03-07,Walk-Forward Portfolio After Costs,-5.732671975215597,19.29677334338013,-0.3116461903643908,-22.73985752386567
2023-03-08,Walk-Forward Portfolio After Costs,-6.504367477815776,19.278675885925225,-0.3547480511524961,-21.888797966633266
2023-03-09,Walk-Forward Portfolio After Costs,-4.0665866822264585,19.167078904223185,-0.22367360974432243,-21.888797966633266
2023-03-10,Walk-Forward Portfolio After Costs,-6.362082127465374,19.22270766980784,-0.3484380589696056,-21.888797966633266
2023-03-13,Walk-Forward Portfolio After Costs,-4.365320881350843,19.328023611460672,-0.2363544769048298,-21.888797966633266
2023-03-14,Walk-Forward Portfolio After Costs,-5.527046981465,19.348350658103293,-0.2990621158090949,-21.888797966633266
2023-03-15,Walk-Forward Portfolio After Costs,-4.960393235133953,19.36175185859608,-0.2678402915105618,-21.888797966633266
2023-03-16,Walk-Forward Portfolio After Costs,-5.7013568734023305,19.37504858951276,-0.3079145494036202,-21.560024764270224
2023-03-17,Walk-Forward Portfolio After Costs,-3.8006939461606826,19.436964271957457,-0.2036701388656493,-19.83571876772957
2023-03-20,Walk-Forward Portfolio After Costs,-1.5051405446384503,19.318373539619493,-0.08405517187913007,-17.244878298133926
2023-03-21,Walk-Forward Portfolio After Costs,2.6653693411057944,19.084728010894995,0.12983518782657535,-16.938531289639748
2023-03-22,Walk-Forward Portfolio After Costs,6.090258824995165,18.940354443103747,0.3026521674282761,-16.938531289639748
2023-03-23,Walk-Forward Portfolio After Costs,6.726515429458146,18.9788779291046,0.3339319742010404,-16.938531289639748
2023-03-24,Walk-Forward Portfolio After Costs,5.635626610180422,18.944038345523527,0.2799516329716886,-15.363076762202276
2023-03-27,Walk-Forward Portfolio After Costs,7.660814470775246,18.84436710398206,0.3812298963323582,-15.363076762202276
2023-03-28,Walk-Forward Portfolio After Costs,13.006483431382708,17.942094380866326,0.6610140134771878,-15.363076762202276
2023-03-29,Walk-Forward Portfolio After Costs,10.258785720595087,17.797156935735824,0.5265925853048732,-15.363076762202276
2023-03-30,Walk-Forward Portfolio After Costs,8.775389051051242,17.70800457588549,0.4518414507754118,-15.363076762202276
2023-03-31,Walk-Forward Portfolio After Costs,8.522189134073855,17.69511692699581,0.4388682611039899,-15.363076762202276
2023-04-03,Walk-Forward Portfolio After Costs,9.507725046023419,17.704683167905372,0.48980888402148576,-15.363076762202276
2023-04-04,Walk-Forward Portfolio After Costs,8.494177619549092,17.699506704519955,0.43734393299147917,-15.363076762202276
