horizon_months,signal_column,base_factor,factor_name,category,signal_variant,number_of_periods,quantile_monotonicity,average_q5_minus_q1_return,q5_minus_q1_positive_rate_percent,average_q1_return,average_q2_return,average_q3_return,average_q4_return,average_q5_return
1,value_category_score,value_category_score,Value Category,Category Composite,category,86,-0.4000000000,-0.0012115664,46.5116279070,0.0077830836,0.0052813248,0.0046743557,0.0035348659,0.0065715172
1,value_ps_score_zscore,value_ps_score,Sales-to-Price Style,Value,standardized,86,-0.2000000000,-0.0013836293,47.6744186047,0.0066107717,0.0022365168,0.0080908640,0.0057065815,0.0052271424
1,value_pb_score_neutral,value_pb_score,Book-to-Price Style,Value,neutralized,86,-0.1000000000,-0.0013882248,48.8372093023,0.0074765634,0.0053939809,0.0031453643,0.0057392732,0.0060883386
1,value_ps_score_neutral,value_ps_score,Sales-to-Price Style,Value,neutralized,86,-0.9000000000,-0.0013887083,46.5116279070,0.0068346201,0.0064831454,0.0058879813,0.0032087733,0.0054459117
1,risk_category_score,risk_category_score,Risk Category,Category Composite,category,86,-0.3000000000,-0.0015660465,58.1395348837,0.0060231177,0.0069953471,0.0041429697,0.0062358293,0.0044570712
1,trend_60_zscore,trend_60,60-Day MA Trend,Trend,standardized,86,-0.7000000000,-0.0016016813,55.8139534884,0.0066569376,0.0062771162,0.0042129837,0.0056436595,0.0050552563
1,volatility_20_zscore,volatility_20,20-Day Volatility,Risk,standardized,86,-0.3000000000,-0.0020118739,52.3255813953,0.0078746964,0.0053440555,0.0053876823,0.0034166680,0.0058628224
1,trend_60_neutral,trend_60,60-Day MA Trend,Trend,neutralized,86,-0.2000000000,-0.0022370418,58.1395348837,0.0082111682,0.0045999173,0.0027666841,0.0062880309,0.0059741264
1,trend_category_score,trend_category_score,Trend Category,Category Composite,category,86,-0.2000000000,-0.0022370418,58.1395348837,0.0082111682,0.0045999173,0.0027666841,0.0062880309,0.0059741264
1,downside_volatility_60_zscore,downside_volatility_60,60-Day Downside Volatility,Risk,standardized,86,-0.9000000000,-0.0022858212,52.3255813953,0.0073825043,0.0065536625,0.0056820738,0.0031493506,0.0050966831
1,value_pe_score_zscore,value_pe_score,Earnings Yield Style,Value,standardized,86,0.0000000000,-0.0023335212,41.8604651163,0.0079711630,0.0037752150,0.0049637220,0.0055140712,0.0056376419
1,momentum_60_zscore,momentum_60,60-Day Momentum,Momentum,standardized,86,-0.4000000000,-0.0031337811,52.3255813953,0.0077107834,0.0040908362,0.0063115500,0.0051665601,0.0045770024
1,volatility_20_neutral,volatility_20,20-Day Volatility,Risk,neutralized,86,-0.8000000000,-0.0032169519,46.5116279070,0.0075553961,0.0056135925,0.0060090088,0.0043154126,0.0043384442
1,momentum_60_neutral,momentum_60,60-Day Momentum,Momentum,neutralized,86,-0.4000000000,-0.0035189527,51.1627906977,0.0084279304,0.0041100118,0.0053151345,0.0050755776,0.0049089778
3,momentum_12_1_zscore,momentum_12_1,12-1 Momentum,Momentum,standardized,84,1.0000000000,0.0376175525,66.6666666667,-0.0023895993,0.0094386460,0.0168488207,0.0286825286,0.0352279531
3,momentum_12_1_neutral,momentum_12_1,12-1 Momentum,Momentum,neutralized,84,1.0000000000,0.0314906737,71.4285714286,0.0031955094,0.0097445843,0.0140062703,0.0261721211,0.0346861831
3,momentum_120_zscore,momentum_120,120-Day Momentum,Momentum,standardized,84,1.0000000000,0.0196042312,63.0952380952,0.0040909401,0.0143920675,0.0223677104,0.0233048472,0.0236951714
3,amihud_liquidity_score_20_zscore,amihud_liquidity_score_20,Amihud Liquidity,Liquidity,standardized,84,1.0000000000,0.0156538322,54.7619047619,0.0090764285,0.0152836534,0.0191317319,0.0196020398,0.0247302608
3,liquidity_amount_20_zscore,liquidity_amount_20,20-Day Amount Liquidity,Liquidity,standardized,84,0.7000000000,0.0148365291,50.0000000000,0.0137786053,0.0160298867,0.0139304699,0.0154462376,0.0286151344
3,amihud_liquidity_score_20_neutral,amihud_liquidity_score_20,Amihud Liquidity,Liquidity,neutralized,84,0.5000000000,0.0107566065,52.3809523810,0.0159824631,0.0131465229,0.0169379784,0.0150073635,0.0267390696
3,liquidity_category_score,liquidity_category_score,Liquidity Category,Category Composite,category,84,0.7000000000,0.0103465997,53.5714285714,0.0163038967,0.0163959078,0.0087258890,0.0197038214,0.0266504963
3,momentum_category_score,momentum_category_score,Momentum Category,Category Composite,category,84,0.7000000000,0.0088448411,57.1428571429,0.0150497046,0.0144563299,0.0144919006,0.0199288701,0.0238945457
3,equal_weight_composite_score,equal_weight_composite_score,Equal-Weight Composite,Composite,composite,84,0.3000000000,0.0082838250,69.0476190476,0.0171313513,0.0146106598,0.0154939708,0.0151597301,0.0254151764
3,liquidity_amount_20_neutral,liquidity_amount_20,20-Day Amount Liquidity,Liquidity,neutralized,84,0.1000000000,0.0080677052,45.2380952381,0.0182571175,0.0176806424,0.0125858777,0.0129370663,0.0263248227
3,turnover_stability_20_neutral,turnover_stability_20,Turnover Stability,Liquidity,neutralized,84,1.0000000000,0.0078947889,60.7142857143,0.0133566301,0.0155149627,0.0172143759,0.0204555671,0.0212514190
3,momentum_120_neutral,momentum_120,120-Day Momentum,Momentum,neutralized,84,0.7000000000,0.0058896009,60.7142857143,0.0179440655,0.0110323504,0.0149661573,0.0200295940,0.0238336664
3,value_pe_score_neutral,value_pe_score,Earnings Yield Style,Value,neutralized,84,0.3000000000,0.0054797487,57.1428571429,0.0154522519,0.0187189181,0.0177169689,0.0149505067,0.0209320006
3,turnover_stability_20_zscore,turnover_stability_20,Turnover Stability,Liquidity,standardized,84,0.1000000000,0.0025486911,58.3333333333,0.0147592546,0.0197780452,0.0197272514,0.0162492022,0.0173079457
3,turnover_20_zscore,turnover_20,20-Day Turnover,Liquidity,standardized,84,0.8000000000,0.0024221594,45.2380952381,0.0171667624,0.0164136659,0.0174022992,0.0172390315,0.0195889218
3,value_pcf_score_zscore,value_pcf_score,Cash-Flow Yield Style,Value,standardized,84,0.0000000000,0.0023735259,48.8095238095,0.0138431436,0.0217065436,0.0188902266,0.0171916657,0.0162166695
3,drawdown_60_neutral,drawdown_60,60-Day Drawdown,Risk,neutralized,84,0.2000000000,0.0018546801,60.7142857143,0.0167030909,0.0194275192,0.0147114782,0.0184046359,0.0185577710
