method,number_of_days,annual_volatility_percent,var_95_percent,cvar_95_percent,best_day,best_day_return_percent,worst_day,worst_day_return_percent,maximum_drawdown_percent,maximum_loss_streak_days,daily_win_rate_percent,daily_loss_rate_percent,monthly_win_rate_percent,best_month,best_month_return_percent,worst_month,worst_month_return_percent
Trained Factor,450,18.86682382500592,1.748317694384556,2.474528871725078,2024-11-07,5.035067275023772,2025-04-07,-5.174837334488443,-21.33716407303036,10,48.0,52.0,52.17391304347826,2025-02,7.143272295851122,2026-06,-8.578490464270416
Original Factor,450,16.598671994722036,1.4125315173985271,2.2635341898738464,2024-11-07,4.4480491929853505,2025-04-07,-6.320403342973177,-20.945983394914958,10,48.66666666666667,51.33333333333333,43.47826086956522,2026-07,11.22210285690548,2026-03,-4.98431982909322
CSI 300 Benchmark,450,16.328642300463386,1.7074365768571835,2.5548112113781896,2026-04-08,3.4891510040805374,2025-04-07,-7.04545017723035,-13.417763651486602,5,49.111111111111114,43.111111111111114,60.86956521739131,2025-08,10.333955786813686,2026-07,-9.04380746847896
