method,start_date,end_date,number_of_days,initial_value,final_value,total_return_percent,annual_return_percent,annual_volatility_percent,downside_deviation_percent,sharpe_ratio,sortino_ratio,maximum_drawdown_percent,calmar_ratio,var_95_percent,cvar_95_percent,daily_win_rate_percent,daily_loss_rate_percent,maximum_loss_streak_days,best_day,best_day_return_percent,worst_day,worst_day_return_percent
Walk-Forward Portfolio After Costs,2022-02-07,2026-09-08,1116,1000000.0,1251689.5691884046,25.16895691884047,5.199910119286155,17.73579973284603,12.47034735721885,0.2628972240741867,0.3739023768092376,-24.180145533809483,0.21504875196121,1.6127683135681359,2.4953936250286057,49.46236559139785,50.53763440860215,7,2024-09-30,8.904516130753848,2025-04-07,-7.962057620652773
Walk-Forward Portfolio Before Costs,2022-02-07,2026-09-08,1116,1000000.0,1317757.9897388266,31.775798973882672,6.428922354686439,17.736614372966887,12.425382715649977,0.32838833530652284,0.46875797721516366,-23.948079260645592,0.26845252534516323,1.6071739194351538,2.4856417711476726,50.0,50.0,7,2024-09-30,8.863436298000948,2025-04-07,-8.014435439234212
CSI 300 Benchmark,2022-02-07,2026-09-08,1116,1000000.0,982788.037164241,-1.7211962835758987,-0.39127340766111907,18.14476788578803,12.593314637525596,-0.040174331132681707,-0.05788419763587565,-32.08930678001812,-0.012193264576994956,1.6705015000000016,2.558992857142856,48.924731182795696,51.075268817204304,7,2024-09-30,8.482622000000006,2024-10-09,-7.051351000000006
