method,maximum_drawdown,peak_date,trough_date,recovery_date,drawdown_days,recovery_days
Multi-Factor Portfolio,-0.3976385817996073,2021-12-13,2024-01-17,,765,
CSI 300 Benchmark,-0.4085662383300688,2021-06-01,2024-09-13,,1200,
