snapshot_date,signal_price_date,baostock_code,symbol,stock_name,industry,close,momentum_20,momentum_60,momentum_120,momentum_12_1,reversal_5_score,volatility_20,downside_volatility_60,drawdown_60,trend_60,liquidity_amount_20,turnover_20,turnover_stability_20,amihud_liquidity_score_20,value_pe_score,value_pb_score,value_ps_score,value_pcf_score,log_float_market_cap
2019-07-31,2019-07-31,sh.600031,600031.SS,三一重工,C35专用设备制造业,12.3467962800,0.1144723264,0.1880348562,0.5788357957,,-0.0143678161,0.2847577540,0.1320553139,-0.0361774744,0.1194531539,6.9884483822,0.9556764500,-0.3261361089,-0.0012764860,-2.7139759425,-1.1158128407,-0.5991260196,-6.5522446341,25.3140337875
2019-07-31,2019-07-31,sh.600036,600036.SS,招商银行,J66货币金融服务,26.9396016000,0.0385347062,0.1137060110,0.3210073762,,-0.0035684875,0.2004502149,0.1374810399,-0.0218074614,0.0593104530,7.1896663221,0.1782766000,-0.0532522361,-0.0005786689,-2.3674131035,-0.5499780654,-1.2630928596,-2.7263255843,27.0129383528
2019-07-31,2019-07-31,sh.600038,600038.SS,中直股份,C37铁路、船舶、航空航天和其他运输设备制造业,41.8762999200,0.0482742380,0.1055196748,0.0811451597,,-0.0171614100,0.2348655645,0.1390334791,0.0000000000,0.0689321063,5.2775863291,0.7796789000,-0.3163748606,-0.0056342178,-3.9093846079,-1.1978025071,-0.6638373123,-3.1253557778,23.8852972046
2019-07-31,2019-07-31,sh.600048,600048.SS,保利地产,K70房地产业,10.9438030800,0.0636227545,0.1432257413,0.1648300073,,0.0069881202,0.2764942902,0.1115346057,-0.0280437756,0.0922266926,7.0498775442,0.6941921500,-0.3326114053,-0.0007745579,-2.0055577559,-0.3623585615,0.1985765564,-1.1094315488,25.5483317325
2019-07-31,2019-07-31,sh.600050,600050.SS,中国联通,I63电信、广播电视和卫星传输服务,4.9980056200,-0.0435483871,-0.0167027933,0.1387518128,,0.0033613445,0.1555439473,0.1487940886,-0.0631911532,-0.0135141961,6.0234075153,0.3250412500,-0.1017896808,-0.0013952989,-3.7328902630,-0.2625557846,0.4514001520,,25.3911898954
2019-07-31,2019-07-31,sh.600061,600061.SS,国投资本,J67资本市场服务,7.8679538000,-0.0301507538,0.0876077891,0.5280338904,,0.0445544554,0.3257887897,0.1870206625,-0.0765315238,0.0191689646,5.1479210268,0.2947284500,-0.0909673193,-0.0090791173,-3.1711433412,-0.4127293263,-1.6628323179,-1.5558440791,24.2444365769
2019-07-31,2019-07-31,sh.600066,600066.SS,宇通客车,C36汽车制造业,8.3725096500,-0.0511322133,-0.0231206853,0.1482908469,,0.0151630023,0.2457902357,0.1535561846,-0.0647948164,-0.0068593303,4.7089921156,0.3699132000,-0.1577823787,-0.0095847829,-2.5184976032,-0.5878983253,0.1044464891,,23.6684341278
2019-07-31,2019-07-31,sh.600068,600068.SS,葛洲坝,Unknown,5.6570700400,-0.0226537217,-0.0503144654,-0.0178861789,,0.0065789474,0.1137479676,0.0925669677,-0.0562500000,-0.0231015985,4.5767304133,0.3430080000,-0.1224219394,-0.0045844868,-1.7999995926,-0.0098562670,1.2939850430,,23.9897544753
2019-07-31,2019-07-31,sh.600085,600085.SS,同仁堂,C27医药制造业,25.3904811200,-0.0742982065,-0.0359481490,0.0813260089,,0.0006040693,0.1658674710,0.1218735821,-0.0775797791,-0.0205152348,4.9266192423,0.3413373000,-0.0865514305,-0.0057735678,-3.5068272810,-1.4007868360,-0.9898039844,-3.6114460704,24.2878211783
2019-07-31,2019-07-31,sh.600089,600089.SS,特变电工,C38电气机械和器材制造业,4.6345468500,-0.0014039350,0.0013394608,0.0238414712,,-0.0200860832,0.1264683793,0.1022966394,-0.0108885651,0.0153079464,4.2886642911,0.2766420000,-0.0932566015,-0.0062831153,-2.5829172710,0.1099287118,0.4066893572,-1.9063884992,23.5491099371
2019-07-31,2019-07-31,sh.600100,600100.SS,同方股份,C39计算机、通信和其他电子设备制造业,8.8316449800,-0.0619747899,-0.0988900101,-0.0629590766,,0.0143487859,0.2126059905,0.1995363703,-0.1380308880,-0.0584803543,4.6561341956,0.3865482000,-0.1179160712,-0.0081901779,,-0.4537364075,-0.1087880350,,24.0064202734
2019-07-31,2019-07-31,sh.600104,600104.SS,上汽集团,C36汽车制造业,20.2717252800,-0.0250154229,-0.0015442619,0.0045977188,,-0.0060753341,0.2398145114,0.1554685564,-0.0311610431,0.0368553436,6.2800801087,0.1855284500,-0.0597978201,-0.0023466640,-2.1281245573,-0.1673229716,1.0904239052,,26.1554531576
2019-07-31,2019-07-31,sh.600109,600109.SS,国金证券,J67资本市场服务,8.7065694200,-0.0373056995,-0.0031153916,0.2293596752,,0.0064171123,0.2300096676,0.1689397538,-0.0625630676,-0.0060554046,5.1916064470,0.6218894000,-0.1793142006,-0.0051789275,-3.2055544075,-0.3418179229,-1.9460641372,-2.0671892884,24.0100604121
2019-07-31,2019-07-31,sh.600111,600111.SS,北方稀土,C32有色金属冶炼和压延加工业,10.8974722400,-0.0779327317,0.1641758176,0.3056555177,,-0.0044682752,0.3420493387,0.2685247759,-0.2122301904,-0.0681253478,6.1628589104,1.1245990000,-0.4740063719,-0.0023207887,-4.2298831495,-1.4706690568,-1.0088611620,,24.4129306935
2019-07-31,2019-07-31,sh.600115,600115.SS,东方航空,G56航空运输业,5.8248448200,-0.0709779180,-0.0709779180,0.1571709234,,0.0150501672,0.1637477125,0.1531767604,-0.0854037267,-0.0293875309,4.8161194855,0.2066152000,-0.0361766284,-0.0058562446,-3.4401327336,-0.4204581486,0.3274657174,,24.7888139967
2019-07-31,2019-07-31,sh.600118,600118.SS,中国卫星,C39计算机、通信和其他电子设备制造业,22.9773429900,0.0064766839,0.1173894050,0.3098703539,,-0.0183486239,0.2762585637,0.1975267863,-0.0319767442,0.0187510345,5.4137899316,0.8088876000,-0.4756873900,-0.0056307676,-4.1777042703,-1.6092098864,-1.2831433472,-4.6085603828,24.0206657968
2019-07-31,2019-07-31,sh.600153,600153.SS,建发股份,L72商务服务业,5.6754360000,-0.0163934426,0.0361088641,0.2517942403,,-0.0192525481,0.1782790762,0.1236131161,-0.0196078431,0.0432097976,4.4787611207,0.3452277000,-0.1073531861,-0.0085546360,-1.7285123805,0.0923115801,2.4152947699,-1.3237714074,23.4841541453
2019-07-31,2019-07-31,sh.600170,600170.SS,上海建工,E48土木工程建筑业,3.0396124000,0.0237065435,0.0317672249,0.2361739393,,-0.0052910053,0.1547070018,0.1240456704,-0.0196924870,0.0283360921,4.7029099193,0.3382126500,-0.0924612662,-0.0073114351,-2.2505730140,-0.2703019086,1.7072602451,-3.1559392626,23.9564450547
2019-07-31,2019-07-31,sh.600176,600176.SS,中国巨石,C30非金属矿物制品业,6.6615541200,-0.0804123711,-0.0961182328,-0.0925242695,,0.0077864294,0.1558556733,0.1426140085,-0.0897959184,-0.0405207266,4.8547367555,0.3993262000,-0.0813760476,-0.0051063349,-2.6281676084,-0.7553982437,-1.1357478165,-5.8683874715,23.8913678173
2019-07-31,2019-07-31,sh.600177,600177.SS,雅戈尔,C18纺织服装、服饰业,4.1605228800,0.0204724409,0.0358131504,0.3014423029,,-0.0220820189,0.1491407203,0.1053064486,-0.0151975684,0.0252123887,4.3425891773,0.2374652000,-0.1315626331,-0.0054710695,-2.1144822568,-0.1096567735,-1.1265487400,-2.1188579088,23.7377248651
2019-07-31,2019-07-31,sh.600188,600188.SS,兖州煤业,B06煤炭开采和洗选业,3.0105453000,-0.0427906977,-0.0095702075,0.2354962292,,-0.0039024390,0.1739397915,0.1341997906,-0.0619872379,-0.0028325639,4.5306027014,0.2997890000,-0.0735499462,-0.0088943122,-1.8446959462,0.0535220921,1.2640731886,,22.9115064826
2019-07-31,2019-07-31,sh.600196,600196.SS,复星医药,C27医药制造业,23.9659013000,-0.0138732658,-0.0255650241,0.1484716157,,0.0179238237,0.2449160215,0.1701731909,-0.0422432629,0.0272033120,5.9993935176,0.7842781500,-0.2917684730,-0.0028153510,-3.2121252912,-0.8531123520,-0.9553425846,,24.5653605493
2019-07-31,2019-07-31,sh.600208,600208.SS,新湖中宝,K70房地产业,2.8309644000,-0.0809314986,-0.0865873048,0.0452786125,,0.0332225914,0.2358151144,0.1780549819,-0.1294453785,-0.0573229966,4.4141751699,0.3101332500,-0.1113954330,-0.0133749040,-2.2930460406,0.3178430426,-0.4749861956,,23.9491207456
2019-07-31,2019-07-31,sh.600219,600219.SS,南山铝业,C32有色金属冶炼和压延加工业,1.7376788000,-0.0308370044,-0.0267330681,0.0505825293,,0.0045248869,0.1449712623,0.1217582073,-0.0513727372,-0.0171880767,4.4392107683,0.3853406500,-0.1820830423,-0.0060979402,-2.9368647883,0.3810818116,-0.2455209004,-2.3819003053,23.5614413272
2019-07-31,2019-07-31,sh.600221,600221.SS,海航控股,G56航空运输业,1.9700000000,-0.0295566502,-0.0528846154,0.0368421053,,0.0050505051,0.0958984850,0.1076968244,-0.0619047619,-0.0231404959,3.9941603486,0.1627566500,-0.0585339519,-0.0074144812,,0.3991769203,0.7428207348,-1.4531388932,24.2084061181
2019-07-31,2019-07-31,sh.600233,600233.SS,圆通速递,G60邮政业,11.9009671200,0.0588235294,0.1301512176,0.1142730600,,-0.1146443515,0.2736590843,0.1717034114,0.0000000000,0.0830861988,4.2524328075,0.7117587000,-0.3857145076,-0.0206262241,-2.9621774032,-1.2140159032,-0.2794626352,-3.3690277087,22.8542584620
2019-07-31,2019-07-31,sh.600271,600271.SS,航天信息,I65软件和信息技术服务业,21.6190098600,-0.0238805970,-0.0107640699,-0.0590486796,,-0.0218750000,0.2160884370,0.1503916315,-0.0369040779,0.0075471091,5.4887888349,0.5715899000,-0.1895887100,-0.0039557894,-3.0449418736,-1.3370195545,-0.4268207772,,24.4018886730
2019-07-31,2019-07-31,sh.600276,600276.SS,恒瑞医药,C27医药制造业,45.3488377000,-0.0209156063,0.0120955549,0.4036689206,,-0.0051051051,0.1919910435,0.1847500065,-0.0465745620,0.0415434884,6.7577097527,0.2927206500,-0.0940094802,-0.0008867047,-4.2299221246,-2.6738037624,-2.7713099049,,26.0146004149
2019-07-31,2019-07-31,sh.600297,600297.SS,广汇汽车,Unknown,4.0200000000,-0.1025608987,-0.1025608987,-0.0736778012,,0.0359712230,0.2327615364,0.1979050259,-0.1163373762,-0.0678467416,3.8011393196,0.1285056500,-0.0419238475,-0.0216826082,-2.4149347278,0.1088120208,1.6064822846,-1.9649594114,24.2467108580
2019-07-31,2019-07-31,sh.600299,600299.SS,安迪苏,C14食品制造业,9.9515505600,0.0449438202,0.0205192360,0.0354309326,,-0.0578199052,0.3114554166,0.1604856323,-0.0219106047,0.0470641554,4.0669584176,0.1965667500,-0.1179120197,-0.0236548535,-3.4285549604,-0.7880313605,-0.9986615581,,23.9593329680
2019-07-31,2019-07-31,sh.600309,600309.SS,万华化学,C26化学原料和化学制品制造业,37.9840746600,0.0275700935,0.0766749265,0.4263869057,,-0.0314258912,0.2638095160,0.1899747274,-0.0090130689,0.0846224367,6.3461030808,0.9425298500,-0.2961465610,-0.0020296694,-2.8200398355,-1.2149640784,-0.8473435736,-5.8134279985,24.6637293924
2019-07-31,2019-07-31,sh.600332,600332.SS,白云山,C27医药制造业,31.7520877200,-0.1024695501,-0.1380696926,0.0453096526,,0.0079072219,0.2592529654,0.1868392981,-0.1435052891,-0.0544827215,5.8045650902,0.7810423500,-0.2811608704,-0.0037546128,-2.7422076045,-0.9745468097,-0.1366265975,-3.6356249747,24.2988905393
2019-07-31,2019-07-31,sh.600339,600339.SS,中油工程,B11开采专业及辅助性活动,3.5026232500,-0.0964701213,-0.0835317460,0.0378383741,,-0.0000005168,0.2085984555,0.1732703104,-0.1192655999,-0.0631841890,4.1324089083,0.9991612500,-0.2682904852,-0.0121146212,-3.0058731803,0.0969394063,1.0366520885,-2.0840513999,22.4534832671
2019-07-31,2019-07-31,sh.600340,600340.SS,华夏幸福,K70房地产业,21.2571912000,-0.0753623736,0.0183425134,0.1103771276,,0.0435637078,0.2814298480,0.1523193722,-0.0911468434,-0.0164212642,5.7191291840,0.3301496000,-0.1370178402,-0.0044375597,-1.9541095845,-0.8569487122,-0.0356383426,-4.3603190839,24.9114154906
2019-07-31,2019-07-31,sh.600346,600346.SS,恒力石化,C26化学原料和化学制品制造业,10.0137422000,-0.0106295993,0.0232394263,0.3137985880,,-0.0614035088,0.2135576171,0.1689144408,-0.0381558029,0.0189195437,4.5894585506,0.1776751500,-0.1015697955,-0.0087632279,-3.4421242987,-1.1274089883,-0.2930822154,-2.7914351327,24.5367841171
