baostock_code,symbol,stock_name,ipo_date,out_date,security_type,listing_status,industry,industry_classification,industry_update_date,first_hs300_snapshot,last_hs300_snapshot,is_current_hs300_member,source,updated_at
sz.300803,300803.SZ,指南针,2019-11-18,,1,1,J69其他金融业,证监会行业分类,2026-09-07,2025-12-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sz.300832,300832.SZ,新产业,2020-05-12,,1,1,C27医药制造业,证监会行业分类,2026-09-07,2024-06-30,2026-09-08,1,baostock,2026-09-08T21:06:08
sz.300866,300866.SZ,安克创新,2020-08-24,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2022-01-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sz.300888,300888.SZ,稳健医疗,2020-09-17,,1,1,C17纺织业,证监会行业分类,2026-09-07,2022-01-31,2022-05-31,0,baostock,2026-09-08T21:06:08
sz.300896,300896.SZ,爱美客,2020-09-28,,1,1,C35专用设备制造业,证监会行业分类,2026-09-07,2022-01-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sz.300919,300919.SZ,中伟新材,2020-12-23,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2022-06-30,2024-11-30,0,baostock,2026-09-08T21:06:08
sz.300957,300957.SZ,贝泰妮,2021-03-25,,1,1,C26化学原料和化学制品制造业,证监会行业分类,2026-09-07,2022-06-30,2024-11-30,0,baostock,2026-09-08T21:06:08
sz.300979,300979.SZ,华利集团,2021-04-26,,1,1,C19皮革、毛皮、羽毛及其制品和制鞋业,证监会行业分类,2026-09-07,2022-06-30,2026-05-31,0,baostock,2026-09-08T21:06:08
sz.300999,300999.SZ,金龙鱼,2020-10-15,,1,1,C13农副食品加工业,证监会行业分类,2026-09-07,2022-01-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sz.301165,301165.SZ,锐捷网络,2022-11-21,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2026-06-30,2026-09-08,1,baostock,2026-09-08T21:06:08
sz.301236,301236.SZ,软通动力,2022-03-15,,1,1,I65软件和信息技术服务业,证监会行业分类,2026-09-07,2025-06-30,2026-09-08,1,baostock,2026-09-08T21:06:08
sz.301269,301269.SZ,华大九天,2022-07-29,,1,1,I65软件和信息技术服务业,证监会行业分类,2026-09-07,2023-12-31,2026-09-08,1,baostock,2026-09-08T21:06:08
sz.301308,301308.SZ,江波龙,2022-08-05,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2026-06-30,2026-09-08,1,baostock,2026-09-08T21:06:08
sz.302132,302132.SZ,中航成飞,2010-08-27,,1,1,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-09-07,2025-06-30,2026-09-08,1,baostock,2026-09-08T21:06:08
