method,start_date,end_date,number_of_days,final_value,total_return_percent,annual_return_percent,annual_volatility_percent,sharpe_ratio,sortino_ratio,maximum_drawdown_percent,calmar_ratio,win_rate_percent,positive_days,negative_days
Multi-Factor Portfolio,2020-05-06,2026-09-04,1540,107245.81541173458,7.245815411734591,1.1512679063837128,18.35380293274655,0.045914959617889516,-0.06814367388131154,-39.763858179960735,0.028952620773703044,48.116883116883116,741,797
CSI 300 Benchmark,2020-05-06,2026-09-04,1540,88317.1920844328,-11.682807915567206,-2.012417890634388,16.39377225730502,-0.162921953403421,-0.348750278319032,-40.85662383300688,-0.049255609050315466,41.55844155844156,640,657
