date,trained_return,original_return,benchmark_return,trained_value,original_value,benchmark_value,trained_transaction_cost,original_transaction_cost
2024-11-01,-0.0012298981674569438,0.0007204831749730754,-0.00026214572993599194,99877.01018325432,100072.04831749729,99973.7854270064,0.0005,0.0005
2024-11-04,0.026292451100040415,0.02523046938228222,0.014071904504227017,102503.02158951576,102596.91306859418,101380.60698846132,0.0,0.0
2024-11-05,0.027527829299601205,0.020766365074268302,0.025301934299339024,105324.7072705253,104727.47802086957,103945.73244571048,0.0,0.0
2024-11-06,-0.0071699760648101145,-0.012419723043997057,-0.005016612079792759,104569.53164036252,103426.79174875408,103424.27702868042,0.0,0.0
2024-11-07,0.050350672750237725,0.044480491929853504,0.03017189786289287,109834.67790763202,108027.26632446519,106544.78375173331,0.0,0.0
2024-11-08,-0.014431818656448117,-0.008126274463383454,-0.01004664801185906,108249.56375387969,107149.40710878358,105474.36581188001,0.0,0.0
2024-11-11,0.005105408179782245,-0.006185077707150333,0.006598379506522978,108802.22196212661,106486.67969954066,106170.32570571663,0.0,0.0
2024-11-12,-0.0035806687439921213,-0.013281589780233105,-0.010987282865873804,108412.63724666994,105072.3673027123,105003.80230522597,0.0,0.0
2024-11-13,0.00016347940224090677,-0.0032509936206669425,0.006155591531641358,108430.36047980239,104730.7777069028,105650.16282148616,0.0,0.0
2024-11-14,-0.011536123692455937,-0.005697503489489142,-0.01733688256337995,107179.4944292898,104134.0737354608,103818.51835584808,0.0,0.0
2024-11-15,-0.024263642008416686,-0.020867106588235606,-0.017523934679230746,104578.92954581442,101961.09691935575,101999.20942168568,0.0,0.0
2024-11-18,-0.00844490640172475,-0.004745559757722616,-0.004648774311148296,103695.77027420745,101477.234440962,101525.0381171687,0.0,0.0
2024-11-19,0.004672372777917632,0.002422274059665508,0.006710749485376422,104180.27556842184,101723.04011359494,102206.34721446632,0.0,0.0
2024-11-20,0.00419133750134868,0.00039409783027726246,0.0022329325661485377,104616.9302643126,101763.1289429929,102434.56709562859,0.0,0.0
2024-11-21,-0.0003218906782564312,-0.002884853977076651,0.0008856580484013499,104583.25504967272,101469.55717574195,102525.28909441135,0.0,0.0
2024-11-22,-0.03286121201388135,-0.03391256302041719,-0.03098290330218656,101146.52253238359,98028.46442336577,99348.75797637047,0.0,0.0
2024-11-25,-5.1148944014589364e-05,-0.005774068613254513,-0.004555413897530114,101141.34899456531,97462.44134373328,98896.18326358256,0.0,0.0
2024-11-26,-0.0038078024560520337,0.002788173357398227,-0.0020556057860734445,100756.22271745538,97734.18352603487,98692.89169704536,0.0,0.0
2024-11-27,0.010678551820910133,0.011220145369584688,0.017410670492544078,101832.15326302289,98830.77527277464,100411.20111433897,0.0,0.0
2024-11-28,-0.01556546862774635,-0.011735343263450982,-0.00882765210736125,100247.08807611144,97670.96219995564,99524.8059632193,0.0,0.0
2024-11-29,0.01607672372098814,0.00796997922792231,0.011369776695384193,101858.73281494467,98449.39773986049,100656.38078267254,0.0,0.0
