method,number_of_days,final_value,total_return_percent,annual_return_percent,annual_volatility_percent,sharpe_ratio,maximum_drawdown_percent,total_cost_percent
Trained Factor,450,107530.8192285058,7.530819228505803,4.14980341031399,18.86682382500592,0.2044743713450518,-21.33716407303036,1.4600000000000002
Original Factor,450,98920.28777564886,-1.079712224351137,-0.6060825776043832,16.598671994722036,-0.07302552576873016,-20.945983394914958,1.2800000000000002
CSI 300 Benchmark,450,116398.18794430814,16.39818794430814,8.875429901085008,16.328642300463386,0.4815391721311077,-13.417763651486602,0.0
